Time,Speed,WheelsOffRoad,SteeringAngle,ThrottlePos,BrakePos,LanePosition,DistanceTravelledm,CamHeightm,PropOfTotalHeight,RoadDirection,RoadSlope,RoadHeadingChange,RoadSlopeAngle,RoadAttribute
376.9599,20.84965,0,-0.1066607,0.3055466,0,0.5191774,6697.063,1.831614,0.9999999,Straight,Up,0,0.4409637,TransSharp
376.9999,20.85279,0,-0.0892657,0.3055466,0,0.5102638,6697.896,1.830744,0.9999989,Straight,Up,0,0.4367065,TransSharp
377.0399,20.85586,0,-0.07187068,0.3055466,0,0.5009449,6698.73,1.829957,0.999997,Straight,Up,0,0.4324417,TransSharp
377.0799,20.85882,0,-0.05264282,0.3055466,0,0.4913231,6699.564,1.829352,0.999994,Straight,Up,0,0.4281845,TransSharp
377.1199,20.86171,0,-0.04806519,0.3055466,0,0.4814564,6700.398,1.828887,0.9999901,Straight,Up,0,0.4239273,TransSharp
377.1599,20.86458,0,-0.04806519,0.3055466,0,0.4712461,6701.233,1.828501,0.9999852,Straight,Up,0,0.4196625,TransSharp
377.1999,20.86742,0,-0.04806519,0.3055466,0,0.4606301,6702.068,1.82825,0.9999794,Straight,Up,0,0.4154053,TransSharp
377.2399,20.87027,0,-0.04806519,0.3055466,0,0.4496333,6702.903,1.828096,0.9999726,Straight,Up,0,0.4111404,TransSharp
377.2799,20.87312,0,-0.04806519,0.3055466,0,0.4381351,6703.738,1.827876,0.9999648,Straight,Up,-0.03426402,0.406868,TransSharp
377.3199,20.87599,0,-0.04806519,0.3055466,0,0.4262844,6704.573,1.827769,0.999956,Straight,Up,-0.03426402,0.3914871,TransSharp
377.3599,20.8788,0,-0.04714966,0.3055466,0,0.4141679,6705.408,1.827782,0.9999463,Straight,Up,-0.03426402,0.3746338,TransSharp
377.3999,20.88035,0,-0.0453186,0.3055466,0,0.4016252,6706.243,1.827058,0.9999356,Straight,Up,-0.03426402,0.3577728,TransSharp
377.4399,20.88533,0,-0.04074097,0.3055466,0,0.3929228,6707.078,1.827793,0.9999238,Straight,Up,-0.03426402,0.3409348,TransSharp
377.4799,20.8897,0,-0.02975464,0.3055466,0,0.3861114,6707.914,1.829394,0.9999112,Straight,Up,-0.03426402,0.3240891,TransSharp
377.5199,20.89326,0,-0.01052856,0.2817273,0,0.3790718,6708.75,1.830639,0.9998975,Straight,Up,-0.03426402,0.3072357,TransSharp
377.5599,20.89225,0,0.02151489,0.2817273,0,0.3717079,6709.586,1.830999,0.9998829,Straight,Up,-0.03426402,0.2903748,TransSharp
377.5999,20.89196,0,0.04440308,0.2817273,0,0.364222,6710.422,1.830684,0.9998673,Straight,Up,-0.03956468,0.2735062,TransSharp
377.6399,20.89159,0,0.04623413,0.2817273,0,0.3565497,6711.258,1.830273,0.9998507,Straight,Up,-0.03426402,0.2566376,TransSharp
377.6799,20.89114,0,0.04623413,0.2817273,0,0.3488925,6712.094,1.829694,0.9998332,Straight,Up,-0.03426402,0.2397614,TransSharp
377.7199,20.89062,0,0.04623413,0.2817273,0,0.3408382,6712.93,1.829092,0.9998147,Straight,Up,-0.03956468,0.2228928,TransSharp
377.7599,20.89005,0,0.04623413,0.2817273,0,0.3326204,6713.766,1.828535,0.9997952,Straight,Up,-0.03426402,0.2060242,TransSharp
377.7999,20.88945,0,0.04623413,0.2817273,0,0.3244096,6714.602,1.82818,0.9997747,Straight,Up,-0.03956468,0.1891479,TransSharp
377.8399,20.88883,0,0.04623413,0.2817273,0,0.3159513,6715.438,1.827943,0.9997533,Straight,Up,-0.03956468,0.1722717,TransSharp
377.8799,20.88821,0,0.03433228,0.2817273,0,0.3071957,6716.273,1.827736,0.9997308,Straight,Up,-0.03426402,0.1554108,TransSharp
377.9199,20.88762,0,0.02792358,0.2817273,0,0.2982829,6717.109,1.827686,0.9997075,Straight,Flat,-0.02797646,0.1385498,TransSharp
377.9599,20.88702,0,0.02700806,0.2817273,0,0.2892143,6717.945,1.827639,0.9996831,Straight,Flat,0,0.1216736,TransSharp
377.9999,20.88641,0,0.02700806,0.27776,0,0.2800198,6718.781,1.827622,0.9996578,Straight,Flat,-0.01978234,0.1176987,TransSharp
378.0399,20.88531,0,0.02700806,0.2737926,0,0.2706231,6719.616,1.827516,0.9996315,Straight,Flat,0,0.113884,TransSharp
378.0799,20.88336,0,0.02700806,0.2737926,0,0.2612147,6720.451,1.827484,0.9996042,Straight,Flat,0,0.1100616,TransSharp
378.1199,20.88106,0,0.02700806,0.2737926,0,0.2516196,6721.286,1.827485,0.9995759,Straight,Flat,0,0.1062469,TransSharp
378.1599,20.87874,0,0.02700806,0.2698253,0,0.2419219,6722.121,1.827452,0.9995466,Straight,Flat,0,0.1024323,TransSharp
378.1999,20.87594,0,0.02700806,0.2698253,0,0.2323384,6722.956,1.827408,0.9995165,Straight,Flat,0,0.09861755,TransSharp
378.2399,20.87279,0,0.02700806,0.2698253,0,0.2228917,6723.791,1.827429,0.9994853,Straight,Flat,0,0.09480286,TransSharp
378.2799,20.86963,0,0.02700806,0.2698253,0,0.2134686,6724.626,1.82743,0.9994531,Straight,Flat,0,0.09098816,TransSharp
378.3199,20.86648,0,0.02700806,0.2658579,0,0.2039378,6725.461,1.827348,0.99942,Straight,Flat,0,0.08717346,TransSharp
378.3599,20.86243,0,0.02700806,0.2618906,0,0.1944934,6726.296,1.827318,0.9993859,Straight,Flat,0,0.08336639,TransSharp
378.3999,20.85793,0,0.01602173,0.2618906,0,0.1850301,6727.13,1.827208,0.9993508,Straight,Flat,0,0.0795517,TransSharp
378.4399,20.85308,0,0.004119873,0.2539559,0,0.1757647,6727.964,1.827244,0.9993147,Straight,Flat,-0.01978234,0.07574463,TransSharp
378.4799,20.84683,0,-0.02426147,0.2539559,0,0.166328,6728.798,1.82729,0.9992777,Straight,Flat,0,0.07192993,TransSharp
378.5199,20.84028,0,-0.04714966,0.2539559,0,0.1568755,6729.632,1.827284,0.9992397,Straight,Flat,0,0.06812286,TransSharp
378.5599,20.83374,0,-0.07003963,0.2499886,0,0.147268,6730.465,1.827292,0.9992008,Straight,Flat,0,0.0643158,TransSharp
378.5999,20.8263,0,-0.07553279,0.2499886,0,0.1377093,6731.298,1.827395,0.9991608,Straight,Flat,0,0.06050873,TransSharp
378.6399,20.81892,0,-0.07553279,0.2499886,0,0.128017,6732.131,1.827422,0.9991199,Straight,Flat,0,0.05670929,TransSharp
378.6799,20.81444,0,-0.07553279,0.2460212,0,0.1172751,6732.963,1.825895,0.999078,Straight,Flat,0,0.05290222,TransSharp
378.7199,20.80462,0,-0.07553279,0.2341192,0,0.107644,6733.795,1.829215,0.9990351,Straight,Flat,0,0.04910278,TransSharp
378.7599,20.79353,0,-0.07553279,0.2222171,0,0.09798303,6734.627,1.828695,0.9989913,Straight,Flat,-0.01978234,0.04531097,TransSharp
378.7999,20.77611,0,-0.07553279,0.2182498,0,0.08752474,6735.458,1.828005,0.9989464,Straight,Flat,0,0.04150391,TransSharp
378.8399,20.76504,0,-0.07553279,0.2182498,0,0.07735625,6736.29,1.827044,0.9989008,Straight,Flat,0,0.03770447,TransSharp
378.8799,20.75144,0,-0.07553279,0.2182498,0,0.06760386,6737.12,1.82656,0.998854,Straight,Flat,0,0.03390503,TransSharp
378.9199,20.73721,0,-0.07553279,0.2142824,0,0.05777863,6737.949,1.826305,0.9988062,Straight,Flat,0,0.03012085,TransSharp
378.9599,20.72246,0,-0.07553279,0.1904631,0,0.04781237,6738.778,1.826131,0.9987575,Straight,Flat,0,0.02633667,TransSharp
378.9999,20.70316,0,-0.07003963,0.1507896,0,0.03775081,6739.606,1.826308,0.9987079,Straight,Flat,0,-0.0815506,TransSlide
379.0399,20.67723,0,-0.07003963,0.1507896,0,0.02737543,6740.434,1.826393,0.9986572,Straight,Flat,0,-0.09029388,TransSlide
379.0799,20.64847,0,-0.06363094,0.1507896,0,0.01688227,6741.26,1.82648,0.9986056,Straight,Flat,0,-0.09901428,TransSlide
379.1199,20.61973,0,-0.03433228,0.1507896,0,0.00614503,6742.085,1.826582,0.998553,Straight,Flat,0,-0.1077271,TransSlide
379.1599,20.59107,0,-0.02243042,0.1507896,0,-0.00466156,6742.909,1.826585,0.9984995,Straight,Flat,-0.01978234,-0.1164322,TransSlide
379.1999,20.5625,0,-0.01602173,0.1507896,0,-0.01548287,6743.732,1.826647,0.9984449,Straight,Flat,0,-0.1251221,TransSlide
379.2399,20.53402,0,-0.01602173,0.1507896,0,-0.02658352,6744.554,1.826796,0.9983894,Straight,Flat,0,-0.1337967,TransSlide
379.2799,20.50562,0,-0.01602173,0.1507896,0,-0.03782907,6745.374,1.826825,0.998333,Straight,Flat,-0.01978234,-0.1424713,TransSlide
379.3199,20.47731,0,-0.01144409,0.1507896,0,-0.04936054,6746.193,1.826861,0.9982755,Straight,Down,-0.01978234,-0.151123,TransSlide
379.3599,20.44909,0,0.003204346,0.1507896,0,-0.06091952,6747.012,1.826848,0.9982171,Straight,Down,0,-0.1597672,TransSlide
379.3999,20.42092,0,0.02334595,0.1706264,0,-0.07269198,6747.829,1.826699,0.9981577,Straight,Down,0,-0.168396,TransSlide
379.4399,20.39549,0,0.03890991,0.1706264,0,-0.0841479,6748.645,1.826363,0.9980974,Straight,Down,0,-0.1770172,TransSlide
379.4799,20.37202,0,0.04440308,0.1706264,0,-0.09565961,6749.459,1.825986,0.998036,Straight,Down,-0.01978234,-0.1856308,TransSlide
379.5199,20.34861,0,0.04623413,0.1706264,0,-0.1071655,6750.273,1.826649,0.9979737,Straight,Down,0,-0.1942215,TransSlide
379.5599,20.32518,0,0.04714966,0.1706264,0,-0.1185153,6751.087,1.827122,0.9979104,Straight,Down,0,-0.2028122,TransSlide
379.5999,20.30229,0,0.05081177,0.1706264,0,-0.1300417,6751.899,1.827173,0.9978461,Straight,Down,0,-0.2113876,TransSlide
379.6399,20.27943,0,0.05081177,0.1706264,0,-0.1415627,6752.711,1.827155,0.9977809,Straight,Down,0,-0.2199554,TransSlide
379.6799,20.25659,0,0.05081177,0.1706264,0,-0.1530462,6753.521,1.827155,0.9977148,Straight,Down,0,-0.2285156,TransSlide
